Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	0	
Sydney	-33.939914, 151.175287	0.05	2	1	
Alice Springs	-23.700591, 133.879202	-0.3	0	3	
Hermannsburg	-23.943338, 132.777007	0.3	1	3	
Finke Gorge National Park	-24.189380, 132.823785	-0.3	1	3	Palm Valley
Alice Springs	-23.700591, 133.879202	0.3	3	0	
Yulara	-25.241067, 130.984817	0.3	0	0	
Uluru	-25.342261, 131.036490	0.3	1	0	
Yulara	-25.241067, 130.984817	0.3	3	0	
Olgas	-25.312470, 130.770071	0.3	1	0	
Yulara	-25.241067, 130.984817	0.3	3	0	
Kings Canyon	-24.265217, 131.555594	0.3	1	0	
Alice Springs	-23.700591, 133.879202	0.05	2	1	
Sydney	-33.939914, 151.175287	0.3	2	0	
Canberra	-35.355434, 149.066050	0.3	2	0	
